Temperature,Humidity,pm2_5,CO
38.182,NA,4.92,
37.221,NA,100.77,
34.255,NA,1.67,
35.635,NA,1.94,
35.56,NA,2.57,
39.905,NA,1.64,
34.255,NA,6.67,
36.572,NA,8.85,
38.182,NA,3.87,
35.777,NA,18.76,
35.56,NA,26.51,
39.905,NA,86.72,
36.572,NA,84.21,
35.635,NA,72.58,
37.066,NA,79.53,
38.182,NA,83.72,
37.221,NA,89.85,
35.777,NA,10.63,
34.255,NA,5.06,
35.854,NA,,
41.977,NA,2.77,
36.783,NA,9.72,
36.33,NA,6.96,
34.962,NA,10.41,
35.77,NA,12.59,
37.213,NA,13.53,
37.966,NA,8.64,
38.389,NA,8.14,
37.966,NA,8.38,
38.389,NA,15.47,
34.962,NA,7.66,
35.77,NA,6.39,
37.213,NA,6.08,
35.854,NA,12,
36.33,NA,10.91,
36.783,NA,8.82,
41.977,NA,7.42,
35.854,NA,8.91,
38.389,NA,9.15,
35.77,NA,10.05,
34.962,NA,10.51,
37.213,NA,9.72,
36.783,NA,10.79,
41.977,NA,10.08,
36.33,NA,10.47,
37.966,NA,9.36,
36.33,NA,9.63,
41.977,NA,9.38,
36.783,NA,9.59,
37.213,NA,10.14,
35.854,NA,10.17,
34.962,NA,10.7,
37.966,NA,9.91,
33.851,NA,9.75,
35.77,NA,9.5,
38.389,NA,7.3,
32.983,NA,9.52,
32.438,NA,10.07,
41.215,NA,11.17,
35.221,NA,13.68,
32.437,NA,10.01,
36.11,NA,9.75,
33.92,NA,,
35.963,NA,,
41.215,NA,,
36.11,NA,10.17,
33.92,NA,12.67,
35.221,NA,11.31,
32.983,NA,9.8,
32.437,NA,9.66,
33.851,NA,9.82,
32.438,NA,9.5,
35.963,NA,10.63,
41.215,NA,10.36,
32.983,NA,10.2,
33.92,NA,12.02,
35.221,NA,10.75,
32.438,NA,11.23,
33.851,NA,,
35.963,NA,16.49,
36.11,NA,14.78,
32.437,NA,14.48,
33.92,NA,13.2,
